CNN - Breaking News, Latest News and Videos~https://www.cnn.com~{'view': 1, 'the': 1, 'latest': 1, 'news': 2, 'and': 2, 'breaking': 1, 'today': 1, 'for': 1, 'u': 1, 's': 1, 'world': 1, 'weather': 1, 'entertainment': 1, 'politics': 1, 'health': 1, 'at': 1, 'cnn': 1, 'com': 1}
Biden just signed the infrastructure bill into law. Get in, we're going shopping!~https://www.msnbc.com/the-reidout/reidout-blog/biden-signs-infrastructure-bill-rcna5590~{'president': 1, 'joe': 1, 'biden': 1, 'signed': 1, 'the': 1, 'bipartisan': 1, 'infrastructure': 1, 'bill': 1, 'into': 1, 'law': 1, 'monday': 1, 'here': 1, 's': 1, 'what': 1, 'taxpayers': 1, 'should': 1, 'expect': 1, 'to': 2, 'get': 1, 'for': 1, 'their': 1, 'contribution': 1, 'this': 1, 'historic': 1, 'effort': 1}
Supreme Court's Mississippi abortion ignorance could doom Roe~https://www.msnbc.com/the-reidout/reidout-blog/supreme-courts-mississippi-abortion-ignorance-doom-roe-rcna7463~{'during': 1, 'oral': 1, 'arguments': 1, 'over': 1, 'mississippi’s': 1, '-week': 1, 'abortion': 1, 'ban': 1, 'the': 1, 'supreme': 1, 'court’s': 1, 'conservative': 1, 'majority': 1, 'appeared': 1, 'ignorant': 1, 'of': 1, 'how': 1, 'abortions': 1, 'and': 1, 'pregnancy': 1, 'work': 1}
Ex-KKK leader David Duke takes credit for Donald Trump and Tucker Carlson~https://www.msnbc.com/the-reidout/reidout-blog/david-duke-donald-trump-tucker-carlson-rcna3413~{'former': 1, 'ku': 1, 'klux': 1, 'klan': 1, 'leader': 1, 'david': 1, 'duke': 1, 'said': 1, 'donald': 1, 'trump': 1, 'and': 1, 'tucker': 1, 'carlson': 1, 'owe': 1, 'him': 1, 'credit': 1, 'after': 1, 'taking': 1, 'his': 1, 'racist': 1, 'ideas': 1, 'about': 1, 'white': 1, 'replacement': 1}
Vaccine misinformation poised to spike as Covid shots for kids roll out~https://www.nbcnews.com/tech/tech-news/vaccine-misinformation-poised-spike-covid-shots-kids-roll-rcna4360~{'dr': 1, 'natasha': 1, 'burgert': 1, 'is': 1, 'well': 1, 'aware': 1, 'of': 1, 'the': 2, 'concerns': 1, 'parents': 1, 'have': 1, 'about': 1, 'covid-': 1, 'vaccines': 1}
Twitter flags GOP lawmaker's anime video depicting him killing Ocasio-Cortez, attacking Biden as 'hateful conduct'~https://www.nbcnews.com/politics/politics-news/gop-lawmaker-tweets-altered-anime-video-depicting-him-killing-ocasio-n1283527~{'twitter': 1, 'flagged': 1, 'the': 3, 'tweet': 1, 'monday': 1, 'evening': 1, 'saying': 1, 'it': 1, 'violated': 1, 'its': 1, 'policy': 1, 'on': 1, 'hateful': 1, 'conduct': 1, 'however': 1, 'post': 1, 'remained': 1, 'accessible': 1, 'for': 1, 'public': 1, 'interest': 1}
Biden's big infrastructure ambitions are now up to the states~https://www.nbcnews.com/politics/white-house/biden-s-big-infrastructure-ambitions-are-now-states-n1284258~{'the': 4, 'biden': 1, 'administration': 1, 'has': 1, 'said': 1, 'infrastructure': 1, 'law': 1, 'would': 1, 'help': 1, 'achieve': 1, 'its': 1, 'climate': 1, 'and': 1, 'equity': 1, 'goals': 2, 'but': 1, 'it': 1, 'will': 1, 'largely': 1, 'be': 1, 'up': 1, 'to': 3, 'states': 1, 'decide': 1, 'spend': 1, 'on': 1, 'projects': 1, 'that': 1, 'meet': 1}
Democrats can’t let Republicans bully them with their 'religious freedom' act~https://www.msnbc.com/the-reidout/reidout-blog/democrats-cant-let-republicans-bully-religious-freedom-act-rcna7475~{'wednesday’s': 1, 'intense': 1, 'supreme': 1, 'court': 1, 'hearing': 1, 'over': 1, 'abortion': 1, 'rights': 1, 'was': 1, 'a': 2, 'reminder': 1, 'that': 1, 'american': 1, 'politics': 1, 'remains': 1, 'gripped': 1, 'by': 1, 'small': 1, 'vocal': 1, 'minority': 1, 'of': 1, 'religious': 1}
Biden sells infrastructure law in visit to 'structurally deficient' New Hampshire bridge~https://www.nbcnews.com/politics/white-house/biden-sell-infrastructure-law-visit-structurally-deficient-new-hampshire-bridge-n1283931~{'the': 2, 'bridge': 1, 'has': 1, 'been': 1, 'on': 1, 'state': 1, 's': 1, 'red': 1, 'list': 1, 'since': 1, 'requiring': 1, 'inspections': 1, 'twice': 1, 'a': 1, 'year': 1, 'because': 1, 'of': 1, 'poor': 1, 'conditions': 1}
Biden signs infrastructure bill, marking victory in hard-fought legislative battle~https://www.nbcnews.com/politics/white-house/biden-sign-infrastructure-bill-marking-victory-hard-fought-legislative-battle-n1283910~{'the': 1, 'act': 1, 'will': 1, 'direct': 1, 'billions': 1, 'of': 1, 'dollars': 1, 'towards': 1, 'new': 1, 'construction': 1, 'on': 1, 'roads': 1, 'bridges': 1, 'airports': 1, 'and': 1, 'seaports': 1}
Michigan tells majority Black city of Benton Harbor not to drink lead-laced water~https://www.msnbc.com/the-reidout/watch/michigan-tells-majority-black-city-of-benton-harbor-not-to-drink-lead-laced-water-123401797648~{'last': 1, 'week': 1, 'the': 6, 'state': 1, 'of': 3, 'michigan': 1, 'told': 1, 'residents': 1, 'benton': 2, 'harbor': 2, '--': 3, 'a': 1, 'majority': 1, 'black': 1, 'city': 2, 'not': 1, 'to': 1, 'drink': 1, 'their': 1, 'tap': 1, 'water': 2, 'this': 1, 'was': 2, 'almost': 1, 'three': 1, 'years': 1, 'after': 1, 'lead': 1, 'detected': 1, 'in': 1, 's': 3, 'pipes': 1, 'with': 1, 'numbers': 1, 'far': 1, 'higher': 2, 'than': 2, 'federal': 1, 'action': 1, 'level': 1, 'and': 1, 'flint': 1, 'at': 1, 'height': 1, 'its': 1, 'crisis': 1, 'nbc': 1, 'meagan': 1, 'fitzgerald': 1, 'brings': 1, 'latest': 1, 'from': 1}
Misinformation by a thousand cuts: Varied rigged election claims circulate~https://www.nbcnews.com/tech/tech-news/misinformation-thousand-cuts-varied-rigged-election-claims-circulate-n1247476~{'a': 1, 'dizzying': 1, 'array': 1, 'of': 1, 'false': 1, 'claims': 1, 'and': 2, 'conspiracy': 1, 'theories': 1, 'have': 1, 'dominated': 1, 'social': 1, 'ultraconservative': 1, 'media': 1, 'since': 1, 'the': 1, 'early': 1, 'morning': 1, 'after': 1, 'election': 1, 'day': 1}
Ahmaud Arbery trial defense attorney tries to bar Black pastors from courtroom~https://www.msnbc.com/the-reidout/reidout-blog/ahmaud-arbery-trial-defense-attorney-black-pastors-rcna5339~{'a': 1, 'defense': 1, 'attorney': 1, 'for': 1, 'william': 1, 'bryan': 1, 'one': 1, 'of': 2, 'the': 3, 'three': 1, 'men': 1, 'charged': 1, 'with': 1, 'murder': 1, 'in': 1, 'death': 1, 'ahmaud': 1, 'arbery': 1, 'tried': 1, 'to': 1, 'have': 1, 'black': 1, 'pastors': 1, 'barred': 1, 'from': 1, 'courtroom': 1}
Careers at WarnerMedia | WarnerMedia jobs~https://warnermediacareers.com/global/en/home~{'home': 1}
Will Biden's infrastructure plan fix years of inequality, or make things worse?~https://www.msnbc.com/the-reidout/will-biden-s-infrastructure-plan-fix-years-inequality-or-make-n1279428~{'the': 2, 'biden': 1, 'administration': 1, 'must': 1, 'guarantee': 1, 'a': 1, 'windfall': 1, 'of': 1, 'federal': 1, 'dollars': 1, 'doesn’t': 1, 'fall': 1, 'into': 1, 'wrong': 1, 'hands': 1, 'and': 1, 'worsen': 1, 'inequality': 1}
Why the NSA wants to protect you from your toothbrush~https://www.msnbc.com/the-reidout/reidout-blog/nsa-internet-of-things-rcna5469~{'the': 3, 'nsa': 1, 'is': 1, 'raising': 1, 'awareness': 1, 'on': 1, 'inherent': 1, 'risks': 1, 'of': 2, 'web-based': 1, 'devices': 1, 'and': 2, 'internet': 1, 'things': 1, 'to': 1, 'national': 1, 'security': 2, 'personal': 1}
ReidOut Blog | The ReidOut with Joy Reid - MSNBC~https://www.msnbc.com/reidoutblog~{'the': 3, 'reidout': 2, 'blog': 1, 'is': 1, 'a': 1, 'digital': 1, 'extension': 1, 'of': 2, 'with': 1, 'joy': 1, 'reid': 1, 'writer': 1, 'ja': 1, 'han': 1, 'jones': 1, 'sheds': 1, 'light': 1, 'on': 1, 'issues': 1, 'at': 1, 'intersection': 1, 'politics': 1, 'race': 1, 'and': 1, 'culture': 1}
Women's Health Protection Act codifying Roe v. Wade into law advocated for by Rep. Pressley~https://www.msnbc.com/the-reidout/watch/women-s-health-protection-act-codifying-roe-v-wade-into-law-advocated-for-by-rep-pressley-127678021922~{'the': 2, 'women': 1, 's': 1, 'health': 1, 'protection': 1, 'act': 1, 'which': 1, 'would': 1, 'codify': 1, 'roe': 1, 'v': 1, 'wade': 1, 'into': 1, 'law': 1, 'is': 1, 'advocated': 1, 'for': 1, 'by': 1, 'rep': 1, 'ayanna': 1, 'pressley': 1, 'as': 1, 'it': 1, 'becomes': 1, 'clear': 1, 'that': 1, 'all': 1, 'six': 1, 'conservative': 1, 'justices': 1, 'on': 1, 'supreme': 1, 'court': 1, 'seem': 1, 'potentially': 1, 'interested': 1, 'in': 1, 'upholding': 1, 'mississippi’s': 1, 'de': 1, 'facto': 1, 'abortion': 1, 'ban': 1}
YouTube cracks down on anti-vaccine videos, bans major accounts~https://www.nbcnews.com/tech/tech-news/youtube-cracks-anti-vaccine-videos-bans-major-accounts-rcna2400~{'youtube': 1, 'says': 1, 'it': 1, 'has': 1, 'shut': 1, 'two': 1, 'german': 1, 'channels': 1, 'of': 1, 'russian': 1, 'state': 1, 'broadcaster': 1, 'rt': 1, 'in': 1, 'a': 1, 'move': 1, 'centering': 1, 'on': 1, 'alleged': 1, 'coronavirus': 1, 'misinformation': 1}
Biden support for Title 42 faces scrutiny after CDC official's interview~https://www.msnbc.com/the-reidout/reidout-blog/biden-title-42-trump-cdc-rcna5589~{'the': 3, 'biden': 1, 'administration': 2, 'continues': 1, 'to': 1, 'enforce': 1, 'title': 1, 'a': 2, 'cruel': 1, 'border': 1, 'policy': 2, 'enacted': 1, 'during': 1, 'trump': 1, 'but': 1, 'former': 1, 'cdc': 1, 'official': 1, 'said': 1, 'isn': 1, 't': 1, 'based': 1, 'in': 1, 'science': 1}
Democrats clear procedural hurdle for Biden's $1.75 trillion social spending bill~https://www.nbcnews.com/politics/congress/democrats-eye-friday-vote-biden-s-spending-bills-still-wrangling-n1283353~{'the': 3, 'vote': 1, 'came': 1, 'after': 1, 'a': 1, 'deal': 1, 'between': 1, 'progressive': 1, 'and': 2, 'centrist': 1, 'democrats': 1, 'to': 1, 'pass': 1, 'infrastructure': 1, 'bill': 1, 'move': 1, 'forward': 1, 'on': 1, 'build': 1, 'back': 1, 'better': 1, 'act': 1}
Joe Biden - MSNBC~https://www.msnbc.com/joe-biden~{'latest': 1, 'news': 1, 'and': 1, 'videos': 1, 'about': 1, 'joe': 1, 'biden': 1, 'from': 1, 'msnbc': 1}
For Trump's 'rigged' election claims, an online megaphone awaits~https://www.nbcnews.com/tech/tech-news/trump-s-rigged-election-claims-online-megaphone-awaits-n1243309~{'a': 2, 'sizable': 1, 'online': 1, 'network': 1, 'built': 1, 'around': 1, 'the': 1, 'president': 1, 'is': 1, 'poised': 1, 'to': 2, 'amplify': 1, 'claims': 1, 'about': 1, 'rigged': 1, 'election': 1, 'adding': 1, 'reach': 1, 'and': 1, 'enthusiasm': 1, 'otherwise': 1, 'evidence-free': 1, 'allegations': 1}
Georgetown Law Professor: The Trump effort to undermine the election is ‘almost certainly doomed’~https://www.msnbc.com/katy-tur/watch/georgetown-law-professor-the-trump-effort-to-undermine-the-election-is-almost-certainly-doomed-95730757535~{'katy': 1, 'tur': 1, 'is': 2, 'joined': 1, 'for': 2, 'a': 2, 'discussion': 1, 'by': 1, 'georgetown': 1, 'law': 1, 'professor': 1, 'rosa': 1, 'brooks': 1, 'she': 1, 'the': 5, 'organizer': 1, 'of': 2, 'transition': 1, 'integrity': 1, 'project': 1, 'which': 1, 'brought': 1, 'together': 1, 'bipartisan': 1, 'group': 1, 'experts': 1, 'over': 1, 'summer': 1, 'to': 2, 'war-game': 1, 'potential': 1, 'scenarios': 1, 'around': 1, 'election': 2, 'example': 1, 'what': 1, 'if': 1, 'president': 1, 'trump': 1, 'lost': 1, 'and': 1, 'refused': 1, 'concede': 1}
Maternal Mortality Maternity Care US Compared 10 Other Countries | Commonwealth Fund~https://www.commonwealthfund.org/publications/issue-briefs/2020/nov/maternal-mortality-maternity-care-us-compared-10-countries~{'overview': 1, 'of': 1, 'differences': 1, 'in': 2, 'maternal': 2, 'mortality': 1, 'care': 2, 'workforce': 1, 'and': 3, 'access': 1, 'to': 1, 'postpartum': 1, 'social': 1, 'protections': 1, 'the': 1, 'u': 1, 's': 1, 'other': 1, 'countries': 1}
Cable news mostly mum on Paul Gosar’s violent AOC tweet~https://www.msnbc.com/the-reidout/reidout-blog/paul-gosar-tweet-alexandria-ocasio-cortez-cable-news-rcna5082~{'gop': 1, 'rep': 2, 'paul': 1, 'gosar': 1, 's': 1, 'violent': 1, 'tweet': 1, 'attacking': 1, 'democratic': 1, 'alexandria': 1, 'ocasio-cortez': 1, 'has': 1, 'received': 1, 'relatively': 1, 'minimal': 1, 'media': 2, 'attention': 1, 'a': 1, 'new': 1, 'matters': 1, 'report': 1, 'reveals': 1}
Congress News: U.S. Senate & House of Representatives News - NBC News | NBC News~https://www.nbcnews.com/politics/congress~{'find': 1, 'the': 2, 'latest': 1, 'news': 1, 'from': 1, 'congress': 1, 'covering': 2, 'policy': 1, 'and': 1, 'issues': 1, 'on': 1, 'http': 1, 'www': 1, 'nbcnews': 1, 'com': 1, 'read': 1, 'headlines': 1, 'both': 1, 'democratic': 1, 'amp': 1, 'republican': 1, 'senators': 1, 'representatives': 1}
FACT SHEET: Historic Bipartisan Infrastructure Deal | The White House~https://www.whitehouse.gov/briefing-room/statements-releases/2021/07/28/fact-sheet-historic-bipartisan-infrastructure-deal/~{'today': 1, 'the': 3, 'president': 1, 'and': 1, 'bipartisan': 1, 'group': 1, 'announced': 1, 'agreement': 1, 'on': 1, 'details': 1, 'of': 1, 'a': 1, 'once-in-a-generation': 1, 'investment': 1, 'in': 1, 'our': 1, 'infrastructure': 1, 'which': 1, 'will': 1, 'be': 1}
House Democrats expected to vote on Biden’s infrastructure bill~https://www.nbcnews.com/video/house-democrats-expected-to-vote-on-biden-s-infrastructure-bill-125527621839~{'house': 1, 'speaker': 1, 'nancy': 1, 'pelosi': 1, 'announced': 1, 'she': 1, 'would': 1, 'hold': 1, 'a': 1, 'vote': 2, 'on': 2, 'the': 3, 'bipartisan': 1, 'infrastructure': 1, 'bill': 1, 'tonight': 1, 'despite': 1, 'progressive': 1, 'demands': 1, 'to': 1, 'social': 1, 'and': 1, 'climate': 1, 'spending': 1, 'plan': 1, 'at': 1, 'same': 1, 'time': 1}
COVID-19 misinformation decried by U.S. Surgeon General Dr. Vivek Murthy~https://www.msnbc.com/the-reidout/watch/covid-19-misinformation-decried-by-u-s-surgeon-general-dr-vivek-murthy-123045445545~{'u': 1, 's': 1, 'surgeon': 1, 'general': 1, 'dr': 1, 'vivek': 1, 'murthy': 1, 'addresses': 1, 'the': 2, 'growing': 1, 'movement': 1, 'of': 1, 'rejecting': 1, 'safe': 1, 'free': 1, 'life-saving': 1, 'covid-': 1, 'vaccines': 1}
Amy Klobuchar to end 2020 presidential campaign, endorse Joe Biden~https://www.msnbc.com/msnbc/watch/amy-klobuchar-to-end-2020-presidential-campaign-endorse-joe-biden-79827013823~{'sen': 1, 'amy': 1, 'klobuchar': 2, 'who': 2, 'campaigned': 1, 'as': 1, 'a': 2, 'moderate': 1, 'democrat': 1, 'would': 1, '“get': 1, 'things': 1, 'done': 1, '”': 1, 'will': 2, 'drop': 1, 'out': 1, 'of': 1, 'the': 2, 'presidential': 1, 'race': 1, 'surprised': 1, 'early': 1, 'with': 1, 'third-place': 1, 'finish': 1, 'in': 2, 'new': 1, 'hampshire': 1, 'but': 1, 'her': 1, 'campaign': 1, 'had': 1, 'sputtered': 1, 'weeks': 1, 'since': 1, 'she': 1, 'endorse': 1, 'joe': 1, 'biden': 1, 'later': 1, 'on': 1, 'monday': 1}
Why Credentials Are the Achilles Heel of IoT Security~https://www.iotforall.com/why-credentials-are-the-achilles-heel-of-iot-security~{'the': 2, 'security': 1, 'of': 2, 'iot': 1, 'devices': 1, 'hinges': 1, 'on': 1, 'strength': 1, 'their': 1, 'credentials': 2, 'companies': 1, 'need': 1, 'to': 2, 'take': 1, 'steps': 1, 'ensure': 1, 'that': 1, 'strong': 1, 'are': 1, 'used': 1, 'organization-wide': 1}
Question about infrastructure bill projects is 'will any of this take effect immediately'~https://www.msnbc.com/mtp-daily/watch/question-about-infrastructure-bill-projects-is-will-any-of-this-take-effect-immediately-126363717705~{'nbc': 1, 'news': 1, 'correspondent': 1, 'josh': 1, 'lederman': 1, 'discusses': 1, 'president': 1, 'biden': 1, 's': 1, 'push': 1, 'to': 2, 'sell': 1, 'the': 1, 'infrastructure': 1, 'deal': 1, 'as': 1, 'he': 1, 'heads': 1, 'new': 1, 'hampshire': 1}
The right's NSA conspiracy theory comes into sharper focus~https://www.msnbc.com/rachel-maddow-show/right-s-nsa-conspiracy-theory-comes-sharper-focus-n1273393~{'new': 1, 'reporting': 1, 'on': 1, 'the': 1, 'nsa': 1, 'russia': 1, 'and': 1, 'tucker': 1, 'carlson': 1, 'is': 1, 'bringing': 1, 'an': 1, 'odd': 1, 'story': 1, 'into': 1, 'sharper': 1, 'focus': 1}
KFF COVID-19 Vaccine Monitor Dashboard | KFF~https://www.kff.org/coronavirus-covid-19/dashboard/kff-covid-19-vaccine-monitor-dashboard/~{'using': 1, 'a': 1, 'combination': 1, 'of': 2, 'surveys': 1, 'and': 2, 'focus': 1, 'groups': 1, 'the': 2, 'kff': 1, 'covid-': 1, 'vaccine': 3, 'monitor': 1, 'will': 1, 'track': 1, 'dynamic': 1, 'nature': 1, 'public': 1, 'reactions': 1, 'as': 1, 'development': 1, 'unfolds': 1, 'including': 1, 'confidence': 1, '…': 1}
Office of Management and Budget | The White House~https://www.whitehouse.gov/omb/~{'the': 4, 'office': 1, 'of': 2, 'management': 1, 'and': 1, 'budget': 1, 'oversees': 1, 'implementation': 1, 'president’s': 1, 'vision': 1, 'across': 1, 'executive': 1, 'branch': 1, '\xa0omb': 1, 'carries': 1, 'out': 1, 'its': 1, 'mission': 1, 'through': 1}
Smart House 20 Year Anniversary! 🏠 | Disney Channel Original Movie - YouTube~https://www.youtube.com/watch?v=RxUZb3WnTpo~{'before': 1, 'there': 2, 'was': 2, 'alexa': 1, 'pat': 1, 'the': 1, 'smartest': 1, 'house': 1, 'that': 1, 's': 1, 'ever': 1, 'existed': 1, 'celebrate': 1, 'years': 1, 'with': 1, 'this': 1, 'nostalgic': 1, 'throwback': 1, 'smarthouse': 1, 'disneychannel': 1, 'dcom': 1}
The ReidOut - NBC.com~https://www.nbc.com/the-reidout~{'find': 1, 'the': 2, 'reidout': 1, 'on': 1, 'nbc': 2, 'com': 1, 'and': 2, 'app': 1, 'joy': 1, 'reid': 1, 'conducts': 1, 'one-on-one': 1, 'conversations': 1, 'with': 1, 'politicians': 1, 'newsmakers': 1}
White House Fellows | The White House~https://www.whitehouse.gov/get-involved/fellows/~{'white': 1, 'house': 1, 'fellows': 1, 'gain': 1, 'first-hand': 1, 'experience': 1, 'in': 2, 'the': 3, 'process': 1, 'of': 3, 'governing': 1, 'nation': 1, 'and': 1, 'a': 1, 'sense': 1, 'personal': 1, 'involvement': 1, 'leadership': 1, 'society': 1}
Our Government | The White House~https://www.whitehouse.gov/about-the-white-house/our-government/~{'the': 1, 'u': 1, 's': 1, 'federal': 1, 'government': 1, 'is': 1, 'composed': 1, 'of': 1, 'three': 1, 'distinct': 1, 'branches': 1}
Write or Call the White House | The White House~https://www.whitehouse.gov/get-involved/write-or-call/~{'how': 1, 'you': 1, 'can': 1, 'write': 1, 'or': 1, 'all': 1, 'the': 1, 'white': 1, 'house': 1}
Get Involved | The White House~https://www.whitehouse.gov/get-involved/~{'getting': 1, 'involved': 1, 'with': 1, 'the': 1, 'biden-harris': 1, 'administration': 1}
Advertise with IoT For All - Join the IoT For All Partner Program~https://www.iotforall.com/advertise~{'advertise': 1, 'your': 1, 'business': 1, 'or': 1, 'event': 1, 'on': 1, 'iot': 1, 'for': 1, 'all': 1, 'a': 1, 'leading': 1, 'publication': 1, 'centered': 1, 'around': 1, 'the': 1, 'internet': 1, 'of': 1, 'things': 1, 'and': 1, 'related': 1, 'disciplines': 1}
About The White House | The White House~https://www.whitehouse.gov/about-the-white-house/~{'the': 4, 'white': 1, 'house': 2, 'is': 1, 'where': 2, 'president': 1, 'and': 2, 'first': 1, 'family': 1, 'of': 1, 'united': 1, 'states': 1, 'live': 1, 'work': 1, '—': 1, 'but': 1, 'it’s': 1, 'also': 1, 'people': 1, 's': 1, 'we': 1, 'hope': 1, 'all': 1, 'americans': 1}
The Grounds | The White House~https://www.whitehouse.gov/about-the-white-house/the-grounds/~{'explore': 1, 'the': 2, 'buildings': 1, 'and': 1, 'facilities': 1, 'of': 1, 'white': 1, 'house': 1}
